,eid,doi,title,year,citedby_count,cache_file_mdate,abstract
2-s2.0-85120890066,2-s2.0-85120890066,10.1021/acsaem.1c02930,"Experimental and Theoretical Insights into Transition-Metal (Mo, Fe) Codoping in a Bifunctional Nickel Phosphide Microsphere Catalyst for Enhanced Overall Water Splitting",2021,14,2022-11-19 17:04:40,"© 2021 American Chemical Society.The facile synthesis of efficient non-precious-metal-based bifunctional catalysts for overall water splitting is highly desirable from both industrial and environmental perspectives. This study reports the electrodeposition and characterization of a transition-metal (Mo, Fe)-codoped nickel phosphide (Ni3P:FeMo) bifunctional catalyst for enhanced overall water splitting in an alkaline medium. The Ni3P:FeMo catalyst exhibited outstanding electrocatalytic performance for both the hydrogen evolution reaction and oxygen evolution reaction with low overpotentials of -103 and 290 mV, respectively, at a high current density of 100 mA/cm2 along with fast electrocatalytic kinetics. A full water-splitting electrolyzer consisting of a bifunctional Ni3P:FeMo catalyst required a low cell voltage of 1.48 V to attain a current density of 10 mA/cm2 with excellent stability for more than 50 h. Density functional theory calculations provided insights into the microscopic mechanism of the effective modulation of the p- and d-band centers of the P and Ni active sites by the Mo and Fe codoping of Ni3P, thereby enhancing the bifunctional catalytic activity of Ni3P."
2-s2.0-85120321505,2-s2.0-85120321505,10.1021/acsaem.1c02570,Toward the Continuous Production of Multigram Quantities of Highly Uniform Supported Metallic Nanoparticles and Their Application for Synthesis of Superior Intermetallic Pt-Alloy ORR Electrocatalysts,2021,13,2023-05-01 10:46:05,"© 2021 American Chemical Society. All rights reserved.A fast and facile pulse combustion (PC) method that allows for the continuous production of multigram quantities of high-metal-loaded and highly uniform supported metallic nanoparticles (SMNPs) is presented. Namely, various metal on carbon (M/C) composites have been prepared by using only three feedstock components: water, metal-salt, and the supporting material. The present approach can be elegantly utilized also for numerous other applications in electrocatalysis, heterogeneous catalysis, and sensors. In this study, the PC-prepared M/C composites were used as metal precursors for the Pt NPs deposition using double passivation with the galvanic displacement method (DP method). Lastly, by using thin-film rotating disc electrode (TF-RDE) and gas-diffusion electrode (GDE) methodologies, we show that the synergistic effects of combining PC technology with the DP method enable production of superior intermetallic Pt-M electrocatalysts with an improved oxygen reduction reaction (ORR) performance when compared to a commercial Pt-Co electrocatalyst for proton exchange membrane fuel cells (PEMFCs) application."
2-s2.0-85120335796,2-s2.0-85120335796,10.1016/j.ecoenv.2021.113021,Facile synthesis of petal-like VS2 anchored onto graphene nanosheets for the rapid sensing of toxic pesticide in polluted water,2021,5,2023-05-01 10:46:08,"© 2021 The AuthorsFenitrothion (FT) is a toxic phosphorothioate insecticide that can easily contaminate aquatic environments, leading to a detrimental effect on the aquatic species and harmful endocrine disrupter effects on human health. Therefore, it is vital to develop a reliable methodology for the accurate and precise real-time sensing of carcinogenic FT in water samples at trace concentration to ensure environmental safety. We aim to fabricate the low-cost VS2-attached reduced graphene oxide (RGO) sheets via a simple hydrothermal approach. It was further applied for the rapid and accurate sensing of toxic FT. The VS2/RGO-composite delivers a more favorable microenvironment for the rapid electrocatalytic sensing performance towards toxic FT reduction than the VS2 and RGO modified electrodes. The electron transfer rate constant (ks) and the saturating absorption capacity (Γ) value of FT was evaluated to be 1.52 s−1 and 2.18 × 10−10 mol cm−2, respectively. The constructed sensor exhibits a wide linear relationship after amperometry between the cathodic current densities and the concentrations of FT in the range of 5–90 nM and high sensitivity (5.569 μA nM−1 cm−2); moreover, the detection limit was 0.07 nM (S/N = 3). The fabricated sensor has excellent anti-interference ability and reproducibility for the direct sensing of FT in river water, seawater, and lake water samples with acceptable recoveries. It is a promising sensing device for in-situ quantification of FT in agricultural products and ecological systems."
2-s2.0-85119257177,2-s2.0-85119257177,10.1016/j.ecoenv.2021.112990,Electrospun metal-organic frameworks hybrid nanofiber membrane for efficient removal of As(III) and As(V) from water,2021,14,2023-05-01 10:46:08,"© 2021 The AuthorsMetal-organic frameworks (MOFs) have been widely applied for pollutants removal in water. However, the powdered MOFs are always suffered from aggregation during use and difficult collection after use. These problems discount their efficiency and inhibit their reusability. In this work, Zr-based MOF (UiO-66) was successfully imprisoned into a water-stable polyacrylonitrile (PAN) substrate by electrospinning. The containing UiO-66 hybrid membrane was confirmed by instrumental characterizations and its stability was also investigated by ICP-OES analysis. The obtained composite membrane can efficiently remove both arsenite (AsIII) and arsenate (AsV) from water under natural pH conditions. The adsorption kinetic fitted well with pseudo-second-order model and was dominated by chemisorption. Its adsorption isotherm can be described by Langmuir model. The maximal adsorption capacities of the hybrid membrane for As(V) and As(III) were 42.17 mg/g and 32.90 mg/g, respectively. Our results demonstrated that the MOFs-dispersed electrospun nanofiber membrane can greatly inherit the MOFs’ original adsorption properties and exhibits good regenerability without loss of MOFs. Electrospinning is an effective and practical method for the preparation of MOFs hybrid membrane, which makes the composite very easy to be collected after use."
2-s2.0-85115297274,2-s2.0-85115297274,10.1016/j.carpta.2021.100103,Hydroxypropylcellulose-based liquid crystal materials,2021,8,2023-05-01 10:46:10,"© 2021 The AuthorsHydroxypropyl cellulose is regarded distinctive cellulose derivative due to its unique properties and could display a lyotropic cholesteric liquid-crystalline phase in a variety solvents. This work deals with studying the role of cellulose- and carbon-based nanoparticles on liquid crystal performance of modified hydroxypropyl cellulose (HPC) in lyotropic suspension and nanocomposite films in a comparison study. The lyotropic suspension of HPC and HPC-nanocomposites were characterized by rheological study and optical properties. The Fourier Transformed Infrared Spectroscopy (FTIR), X-ray Diffractometry (XRD), Thermogravimetric Analysis (TGA), mechanical analysis, scanning electron microscope (SEM) and optical properties were the techniques used to characterize the nanocomposite films. The results showed that, introducing the cellulose and carbon nanoparticles lowered the critical concentration of lyotropic suspension of HPC from 30 wt.% to 26–28 wt.% and earlier appearance of anisotropic phases was occurred which evidenced by the rheological curves and optical properties. The FTIR, XRD and TGA of nanocomposite films showed no change in backbone chemical structure of HPC but the incorporation of nanoparticles, especially cellulose-based NPs, enhanced the crystallinity, thermal stability behaviour and mechanical properties. The behaviour of carbon-NPs in HPC film was unaccepted, where it deteriorated the mechanical properties. The nanocomposite films displayed good fingerprint texture (especially with cellulose nanocrystals) with moderated defined morphologies that promote the liquid crystal nanocomposite development."
2-s2.0-85113211452,2-s2.0-85113211452,10.1016/j.jallcom.2021.161626,Exceptional lithium storage performance achieved by iron-based nanostructures upon extended high-rate cycling,2021,3,2023-05-01 10:46:12,"© 2021 Elsevier B.V.Lithium storage performance of low-cost iron-based nanostructures including FeOOH nanorods (NRs) as well as Fe2O3 and FeP nanotubes (NTs) at high charge/discharge rates is comprehensively investigated. Although they show a low specific capacity at a rate of 1000 mA g−1 in the beginning of cycling test, it is found that the specific capacity increases as the cycling proceeds, and can eventually reach an exceptionally high value of 1670, 1644 and 1897 mAh g−1 for FeOOH NRs, Fe2O3 NTs and FeP NTs, respectively, after 1200 charge/discharge cycles. Moreover, even at a higher charge/discharge current density of 3000 mA g−1, FeOOH NRs, Fe2O3 NTs and FeP NTs can still deliver an impressive specific capacity of 419.4, 459.7 and 603.4 mAh g−1, respectively, upon 1400 charge/discharge cycles. The lithiation-induced activation process reported here offers a new perspective in designing high-performance anodes for long-lived lithium-ion batteries."
2-s2.0-85122428540,2-s2.0-85122428540,10.3389/fchem.2021.803860,Metal-Free Pyrene-Based Conjugated Microporous Polymer Catalyst Bearing N- and S-Sites for Photoelectrochemical Oxygen Evolution Reaction,2021,4,2023-05-01 10:46:18,"Copyright © 2021 Das, Shyamal, Das, Mondal, Chowdhury, Chakraborty, Dey and Bhaumik.The development of an efficient, sustainable, and inexpensive metal-free catalyst for oxygen evolution reaction (OER) via photoelectrochemical water splitting is very demanding for energy conversion processes such as green fuel generators, fuel cells, and metal-air batteries. Herein, we have developed a metal-free pyrene-based nitrogen and sulfur containing conjugated microporous polymer having a high Brunauer-Emmett-Teller surface area (761 m2 g−1) and a low bandgap of 2.09 eV for oxygen evolution reaction (OER) in alkaline solution. The π-conjugated as-synthesized porous organic material (PBTDZ) has been characterized by Fourier transform infrared spectroscopy (FT-IR), solid-state 13C (cross-polarization magic angle spinning-nuclear magnetic resonance) CP-MAS NMR, N2 adsorption/desorption analysis, field-emission scanning electron microscope (FESEM), high-resolution transmission electron microscopy (HRTEM), X-ray photoelectron spectroscopy (XPS) and thermogravimetric analysis (TGA) experiments. The material acts as an efficient catalyst for photoelectrochemical OER with a current density of 80 mA/cm2 at 0.8 V vs. Ag/AgCl and delivered 104 µmol of oxygen in a 2 h run. The presence of low bandgap energy, π-conjugated conducting polymeric skeleton bearing donor heteroatoms (N and S), and higher specific surface area associated with inherent microporosity are responsible for this admirable photoelectrocatalytic activity of PBTDZ catalyst."
2-s2.0-85121617286,2-s2.0-85121617286,10.1021/acsanm.1c01676,Magnetically Collected Platinum/Nickel Alloy Nanoparticles as Catalysts for Hydrogen Evolution,2021,1,2022-11-19 17:04:44,"© 2021 The Authors. Published by American Chemical SocietyThe hydrogen evolution reaction (HER) is a key process in electrochemical water splitting. To lower the cost and environmental impact of this process, it is highly motivated to develop electrocatalysts with low or no content of noble metals. Here, we report on an ingenious synthesis of hybrid PtxNi1–x electrocatalysts in the form of a nanoparticle–nanonetwork structure with very low noble metal content. The structure possesses important features such as good electrical conductivity, high surface area, strong interlinking, and substrate adhesion, which render an excellent HER activity. Specifically, the best performing Pt0.05Ni0.95 sample demonstrates a Tafel slope of 30 mV dec–1 in 0.5 M H2SO4 and an overpotential of 20 mV at a current density of 10 mA cm–2 with high stability. The impressive catalytic performance is further rationalized in a theoretical study, which provides insight into the mechanism on how such small platinum content can allow for close-to-optimal adsorption energies for hydrogen."
2-s2.0-85121119643,2-s2.0-85121119643,10.1021/acsanm.1c02591,Electrocatalytic Studies of Coral-Shaped Samarium Stannate Nanoparticles for Selective Detection of Azathioprine in Biological Samples,2021,7,2023-05-01 10:46:21,"© 2021 American Chemical Society.An electrochemical sensor was developed based on the pyrochlore-type binary metal oxide samarium stannate nanoparticles (Sm2Sn2O7 NPs). The Sm2Sn2O7 NPs were prepared using the co-precipitation technique, and they were subjected to physiochemical characterizations such as X-ray diffraction (XRD), Raman spectroscopy, and X-ray photoelectron spectroscopy (XPS). The morphological and elemental information was interpreted by field-emission scanning electron microscopy (FESEM) and high-resolution transmission electron microscopy (HRTEM) analysis. The electrocatalytic sensing of the pharmaceutical drug azathioprine (AZN) was exhibited using cyclic voltammetry (CV) and differential pulse voltammetry (DPV) over the Sm2Sn2O7/GCE (GCE - glassy carbon electrode). The Sm2Sn2O7/GCE had high electrocatalytic behavior for AZN determination with a limit of detection of 4 nM and superior sensitivity of 0.27 μA μM–1 cm–2, and it has a linear range from 0.01 to 948 μM. Furthermore, the Sm2Sn2O7/GCE exhibited excellent selectivity, long-term storage stability, good repeatability, and reproducibility for AZN detection. Additionally, the Sm2Sn2O7/GCE sensor possessed considerable importance for the sensing of AZN in biological fluids for practical applications. We believe that this pyrochlore-based Sm2Sn2O7 NP electrocatalyst can act as a prospective electrode material for the electrochemical determination of AZN in clinical biological applications."
2-s2.0-85121704426,2-s2.0-85121704426,10.1021/acs.jpcc.1c08496,Electrochemical Stability and Degradation of Commercial Pd/C Catalyst in Acidic Media,2021,2,2022-11-19 17:04:47,"© 2021 The Authors. Published by American Chemical SocietyPalladium has attracted significant attention as a catalyst or co-catalyst for many electrochemical reactions in energy conversion devices. We have studied electrochemical stability of a commercial Pd/C sample in an acidic electrolyte by exposing it to an accelerated stress test (AST) to mimic potential spikes in fuel cells and electrolyzers during start/stop events. AST consisted of extensive rapid potential cycling (5000 cycles, 1 V/s) in two potential regions, namely AST1 was performed between 0.4 and 1.4 VRHE, while AST2 was performed between 0.05 and 1.4 VRHE. Degradation of Pd/C was monitored by the changes in Pd electrochemical surface area, while the hydrogen evolution reaction (HER) was used as a test reaction to observe the corresponding impact of the degradation on the activity of Pd/C. Significant Pd/C degradation and HER activity loss were observed in both potential regions. Coupling of the electrochemical flow cell with an inductively coupled plasma mass spectrometry device showed substantial Pd dissolution during both ASTs. Identical location scanning electron microscopy revealed that Pd dissolution is followed by redeposition during both ASTs, resulting in particle size growth. Particle size growth was seen as especially dramatic in the case of AST2, when particularly large Pd nanostructures were obtained on top of the catalyst layer. According to the results presented in this work, (in)stability of Pd/C and other Pd-based nanocatalysts should be studied systematically as it may present a key factor limiting their application in energy conversion devices."
2-s2.0-85127174769,2-s2.0-85127174769,10.1039/d1sc05781b,Recent advances in heterostructured cathodic electrocatalysts for non-aqueous Li-O2batteries,2021,10,2023-05-01 10:46:27,"© 2021 Royal Society of Chemistry. All rights reserved.Developing efficient energy storage and conversion applications is vital to address fossil energy depletion and global warming. Li-O2 batteries are one of the most promising devices because of their ultra-high energy density. To overcome their practical difficulties including low specific capacities, high overpotentials, limited rate capability and poor cycle stability, an intensive search for highly efficient electrocatalysts has been performed. Recently, it has been reported that heterostructured catalysts exhibit significantly enhanced activities toward the oxygen reduction reaction and oxygen evolution reaction, and their excellent performance is not only related to the catalyst materials themselves but also the special hetero-interfaces. Herein, an overview focused on the electrocatalytic functions of heterostructured catalysts for non-aqueous Li-O2 batteries is presented by summarizing recent research progress. Reduction mechanisms of Li-O2 batteries are first introduced, followed by a detailed discussion on the typical performance enhancement mechanisms of the heterostructured catalysts with different phases and heterointerfaces, and the various heterostructured catalysts applied in Li-O2 batteries are also intensively discussed. Finally, the existing problems and development perspectives on the heterostructure applications are presented."
2-s2.0-85122705407,2-s2.0-85122705407,10.1039/d1ra08407k,Oxygen and nitrogen enriched pectin-derived micro-meso porous carbon for CO2uptake,2021,19,2023-05-01 10:46:27,"© The Royal Society of Chemistry.Oxygen and nitrogen enriched micro-meso porous carbon powders have been prepared from pectin and melamine as oxygen and nitrogen containing organic precursors, respectively. The synthesis process has been performed following a solvothermal approach in an alkaline solution during which Pluronic F127 was added to the solution as the soft template. Following the solvothermal treatment, the carbonization process has been performed at 700, 850 and 950 °C. The synthesized porous carbons have been characterized by X-ray diffraction (XRD), Raman spectroscopy, X-ray photoelectron spectroscopy (XPS), field emission scanning electron microscopy (FESEM), transmission electron microscopy (TEM), nitrogen adsorption-desorption isotherms and Fourier transform infrared spectroscopy (FTIR). The surface area of 499.5 m2 g-1, total pore volume of 0.35 cm3 g-1, and a high nitrogen and oxygen content of 9.3 and 29.1 wt% are displayed for the fine sample. The optimal porous carbon had CO2 adsorption of up to 3.1 mmol g-1 at 273 K at 1 bar owing to abundant basic nitrogen-containing functionalities and the valuable micro-meso porous structure. Despite the absence of any reagent and also having a relatively moderate specific surface area, compared to similar materials, a very high ratio of adsorption capacity to specific surface area (6.2 μmol m-2) was observed. The Elovich kinetic model was found to be the best and the physisorption process was reported. This journal is"
2-s2.0-85121639519,2-s2.0-85121639519,10.1016/j.xcrp.2021.100650,Efficient electrolysis of 5-hydroxymethylfurfural to the biopolymer-precursor furandicarboxylic acid in a zero-gap MEA-type electrolyzer,2021,2,2023-05-01 10:46:29,"© 2021 The Author(s)Replacement of today's established chemical production processes by “green” sustainable alternatives has become a scientific priority. The oxidative conversion of 5-hydroxymethylfurfural (5-HMF) to the biopolymer component 2.5-furandicarboxylic acid paired with green electrolytic hydrogen production is a promising emerging green process. Here, we present a family of active selective and stable interlayer anion-tuned NiX (X = Fe, Mn, Co, V) bimetallic-layered, double-hydroxide catalysts for the selective oxidation of 5-HMF to 2.5-furandicarboxylic acid in a zero-gap MEA-type electrolyzer. We report that tuning the structural interlayer distance of the catalyst by anion exchange gives rise to previously unachieved catalytic performance for the anodic production of the biopolymer building block. Operando differential electrochemical mass spectrometry analysis reveals the electrode window for the perfectly selective HMF conversion. The role of the catalyst dopants, their real surface areas, the stability of the catalytic interface, and aspects of its favorable techno-economics are discussed."
2-s2.0-85121637653,2-s2.0-85121637653,10.1016/j.xcrp.2021.100681,CH-π interaction boosts photocatalytic CO2 reduction activity of a molecular cobalt catalyst anchored on carbon nitride,2021,5,2023-05-01 10:46:30,"© 2021 The Author(s)The construction of efficient noble-metal-free systems for visible-light-driven CO2 reduction still remains a key challenge. Here, we report an efficient molecular hybrid system composed of a Co-PYN5 catalyst that contains a pyrene functionality that anchors on g-C3N4 dye surface via CH-π interactions. This hybrid material achieves high turnover numbers (TONs) and turnover frequencies (TOFs) for visible light reduction of CO2 to CO of 533 and 95 h−1 that are within the best reported up to now. The improved performance is rationalized in terms of the electronic coupling that takes place with the π system of the pyrene group with both the g-C3N4 surface and the Co-pyridyl moiety of the catalysts."
2-s2.0-85121636360,2-s2.0-85121636360,10.1016/j.xcrp.2021.100654,Wood for Application in Electrochemical Energy Storage Devices,2021,5,2023-05-01 10:46:30,"© 2021 The Author(s)Nowadays, achieving powerful electrochemical energy conversion and storage devices is a major challenge of our society. Wood is a biodegradable and renewable material that naturally has a hierarchical porous structure, excellent mechanical performance, and versatile physicochemical properties. Wood-based materials and its derivatives are endowed with great potential as resources to fabricate advanced materials for energy storage, flexible electronics, and clean energy. Herein, we comprehensively overview the methodologies applied for the synthesis of various electrochemical energy storage systems and devices (e.g., supercapacitor, battery, catalytic hydrogen evolution, etc.), the strategies for tailoring the structures and conductivity, as well as their impact on electrochemical performance (energy and power density and long-term durability). Finally, an outlook of future opportunities and prospects in the synthesis and application of electrochemical energy storage is also presented."
2-s2.0-85121601917,2-s2.0-85121601917,10.1021/acs.chemrev.1c00253,The Biologically Relevant Coordination Chemistry of Iron and Nitric Oxide: Electronic Structure and Reactivity,2021,48,2023-05-01 10:46:34,"© 2021 The Authors. Published by American Chemical Society.Nitric oxide (NO) is an important signaling molecule that is involved in a wide range of physiological and pathological events in biology. Metal coordination chemistry, especially with iron, is at the heart of many biological transformations involving NO. A series of heme proteins, nitric oxide synthases (NOS), soluble guanylate cyclase (sGC), and nitrophorins, are responsible for the biosynthesis, sensing, and transport of NO. Alternatively, NO can be generated from nitrite by heme- and copper-containing nitrite reductases (NIRs). The NO-bearing small molecules such as nitrosothiols and dinitrosyl iron complexes (DNICs) can serve as an alternative vehicle for NO storage and transport. Once NO is formed, the rich reaction chemistry of NO leads to a wide variety of biological activities including reduction of NO by heme or non-heme iron-containing NO reductases and protein post-translational modifications by DNICs. Much of our understanding of the reactivity of metal sites in biology with NO and the mechanisms of these transformations has come from the elucidation of the geometric and electronic structures and chemical reactivity of synthetic model systems, in synergy with biochemical and biophysical studies on the relevant proteins themselves. This review focuses on recent advancements from studies on proteins and model complexes that not only have improved our understanding of the biological roles of NO but also have provided foundations for biomedical research and for bio-inspired catalyst design in energy science."
2-s2.0-85121596713,2-s2.0-85121596713,10.1016/j.xcrp.2021.100659,An optimized combination inspired by the wooden-barrel effect for Li-S pouch cells,2021,2,2023-05-01 10:46:35,"© 2021 The Author(s)Lithium-sulfur (Li-S) batteries are regarded as one of the most promising alternatives for next-generation energy storage and conversion due to the low cost of raw materials and high theoretical energy density. However, their practical applications have been plagued by rapid capacity decay, which is mainly ascribed to issues with the design and balance of components inside the batteries. In recent years, many advanced components have been reported, but few have been applied in practical Li-S batteries. Inspired by the wooden-barrel effect, in this perspective, we propose an optimized combination that integrates all advanced components into one system. For a better understanding of this topic, the typically advanced designs applied in Li-S pouch cells are summarized. Subsequently, the safety performance of Li-S pouch cells under extreme testing conditions are provided. Finally, our personal insights for the future development direction of Li-S pouch cells are proposed."
2-s2.0-85120881673,2-s2.0-85120881673,10.1021/jacs.1c10600,Small Organic Molecule Based on Benzothiadiazole for Electrocatalytic Hydrogen Production,2021,11,2023-05-01 10:46:38,"© 2021 The Authors. Published by American Chemical SocietyA small organic molecule 2,1,3-benzothiadiazole-4, 7-dicarbonitrile (BTDN) is assessed for electrocatalytic hydrogen evolution on glassy carbon electrode and shows a hydrogen production Faradaic efficiency of 82% in the presence of salicylic acid. The key catalytic intermediates of reduced species BTDN–• and protonated intermediates are characterized or hypothesized by using various spectroscopic methods and density functional theory (DFT)-based calculations. With the experimental and theoretical results, a catalytic mechanism of BTDN for electrocatalytic H2 evolution is proposed."
2-s2.0-85122778142,2-s2.0-85122778142,10.1039/d1ra07017g,"Co2O3/Co2N0.67nanoparticles encased in honeycomb-like N, P, O-codoped carbon framework derived from corncob as efficient ORR electrocatalysts",2021,3,2023-05-01 10:46:40,"© The Royal Society of Chemistry.It is essential to develop cost-effective rechargeable metal-air batteries, with high activity, stability, and efficiency, that use non-precious metals (NPMs)-based cathodic oxygen reduction reaction (ORR) catalysts. Here, by using earth-abundant corncob (CC) as the carbon source, Co(OH)2, NaH2PO4, and melamine as the precursors, and KOH as the chemical activator, CoNP@bio-C-a is obtained and comparative studies are carried out with three other types of CC-derived carbon-based catalytic materials, namely, bio-C, CoP@bio-C, and CoNP@bio-C. Depending mainly on the formation of Co2O3/Co2N0.67 active sites (as p-n heterojunctions) and N, P, O-containing functional groups, the resultant CoNP@bio-C-a catalyst exhibits best electrocatalytic activity among the four types of catalysts; via a 4-electron pathway, it has good stability and good methanol tolerance. In addition, its unique honeycomb-like porous structure, high graphitization degree, and abundant oxygen-containing groups contribute to its excellent ORR activity. This study provides insights for exploring the application of heteroatom-doped biomass-derived carbon catalysts."
2-s2.0-85122438887,2-s2.0-85122438887,10.1088/1755-1315/945/1/012035,Biomass Wastes as Precursor for the Synthesis of Carbon Nanoparticle,2021,0,2023-05-01 10:46:40,"© Published under licence by IOP Publishing Ltd.The development of technology and the growth in human population had resulted in a surge in energy demand and biomass waste production. Metal-air battery (MAB) is a potential energy storage technology with high theoretical energy density and safety. However, the conventional air cathode material synthesized from carbon nanotube (CNT) is rather costly. In this study, several biomass wastes such as oil palm empty fruit bunch (OPEFB), garlic peel (GP) and oil palm frond (OPF) were investigated to identify a suitable greener and efficient precursor to syntheelesize carbon nanoparticle as air electrode material for MAB. The carbon materials were synthesized through carbonization of precursor at different temperatures of 450 °C, 600 °C, and 700 °C before activation with potassium hydroxide (KOH) through wet impregnation method. The materials synthesized were evaluated based on its chemical and physical properties through characterization using thermogravimetric analysis (TGA), fourier transform infrared spectroscopy (FTIR), scanning electron microscopy with energy dispersion x-ray (SEM-EDX), field emission scanning electron microscopy (FESEM) and Brunauer-Emmet-Teller (BET) analysis. Based on the experiments conducted, it was found that the suitable precursor was the OPF as it displayed a better tunability for enhanced electrical conductivity as it was able to achieve smaller sized particles with higher specific surface area of 548.26 m2/g and hierarchical porous structure at 700 °C compared to OPEFB and GP. This study proved that OPF could be a promising alternative to CNT as an electrode material which is more sustainable and cost efficient for energy storage application such as MAB."
2-s2.0-85122190670,2-s2.0-85122190670,10.3389/fmats.2021.790911,Glucose-Derived Carbon Nanospheres as Flame Retardant for Polyethylene Terephthalate,2021,2,2023-05-01 10:46:41,"Copyright © 2021 Li, Yang, Xiao, Tang, Ji and Liu.To improve the flame retardant properties of polyethylene terephthalate (PET), glucose-derived carbon nanospheres (CNSs) were synthesized and introduced into PET matrix. The thermal property and flame retardancy of CNSs/PET composites were thoroughly investigated. Results showed that CNSs displayed good flame-retardant performance for PET. When blended with only 1.0 wt.% of CNSs, CNSs/PET exhibited a limiting oxygen index (LOI) of 26.3 and a vertical combustion class of V-2, and its peak-heat release rate (pk-HRR) was reduced by 41.6%. Importantly, the initial decomposition temperature and the maximum weight loss temperature of CNSs/PET were 52°C and 199°C higher than those of PET, respectively. Furthermore, a condensed phase flame-retardant mechanism appeared in CNSs/PET, which formed a dense and thermally stable protective char layer during combustion. Overall, this study disclosed the flame-retardant potential and possible mechanism of CNSs for polyesters, which would benefit the development of carbon-based materials and flame-retardant polymers."
2-s2.0-85122132049,2-s2.0-85122132049,10.1063/5.0066835,Proton dynamics in water confined at the interface of the graphene–MXene heterostructure,2021,3,2023-05-01 10:46:41,"© 2021 Author(s).Heterostructures of 2D materials offer a fertile ground to study ion transport and charge storage. Here, we use ab initio molecular dynamics to examine the proton-transfer/diffusion and redox behavior in a water layer confined in the graphene-Ti3C2O2 heterostructure. We find that in comparison with the similar interface of water confined between Ti3C2O2 layers, the proton redox rate in the dissimilar interface of graphene-Ti3C2O2 is much higher, owing to the very different interfacial structure as well as the interfacial electric field induced by an electron transfer in the latter. Water molecules in the dissimilar interface of the graphene-Ti3C2O2 heterostructure form a denser hydrogen-bond network with a preferred orientation of water molecules, leading to an increase in proton mobility with proton concentration in the graphene-Ti3C2O2 interface. As the proton concentration further increases, proton mobility decreases due to increasingly more frequent surface redox events that slow down proton mobility due to binding with surface O atoms. Our work provides important insights into how the dissimilar interface and their associated interfacial structure and properties impact proton transfer and redox in the confined space."
2-s2.0-85121417692,2-s2.0-85121417692,10.1039/d1ma00836f,Cation vacancy driven efficient CoFe-LDH-based electrocatalysts for water splitting and Zn-air batteries,2021,7,2022-11-19 17:04:51,"© The Royal Society of Chemistry.Rational design of multifunctional electrocatalysts can optimize the mutual conversion of water and oxygen. CoFe-LDH-based electrocatalysts with highly tunable electronic, component, and catalytic properties have attracted considerable attention. Herein, we report the synthesis of cation vacancy rich CoFe-LDH (CoFeV-LDH) and its trace Pt loaded material (Pt@CoFeV-LDH, Pt dosage: 2.85%), which can act as an efficient electrocatalyst toward the oxygen evolution reaction (OER), hydrogen evolution reaction (HER), and oxygen reduction reaction (ORR). The electrolyzer comprising the CoFeV-LDH cathode and Pt@CoFeV-LDH anode exhibited excellent water splitting performance with a small cell voltage of 1.57 V to reach 10 mA cm-2 and 99% efficiency after 8 h. Furthermore, the liquid-state ZAB using CoFeV-LDH//Pt@CoFeV-LDH as air electrodes shows satisfactory charge-discharge performance with excellent reversibility of 50 h at 50 mA cm-2."
2-s2.0-85121273870,2-s2.0-85121273870,10.1039/d1na00606a,Design principles of noble metal-free electrocatalysts for hydrogen production in alkaline media: Combining theory and experiment,2021,6,2022-11-19 17:04:52,"© The Royal Society of Chemistry.Water electrolysis is a promising solution to convert renewable energy sources to hydrogen as a high-energy-density energy carrier. Although alkaline conditions extend the scope of electrocatalysts beyond precious metal-based materials to earth-abundant materials, the sluggish kinetics of cathodic and anodic reactions (hydrogen and oxygen evolution reactions, respectively) impede the development of practical electrocatalysts that do not use precious metals. This review discusses the rational design of efficient electrocatalysts by exploiting the understanding of alkaline hydrogen evolution reaction and oxygen evolution reaction mechanisms and of the electron structure-activity relationship, as achieved by combining experimental and computational approaches. The enhancement of water splitting not only deals with intrinsic catalytic activity but also includes the aspect of electrical conductivity and stability. Future perspectives to increase the synergy between theory and experiment are also proposed. This journal is"
